"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL223824";"MOZENAVIR";"DMP-450|MOZENAVIR|Mozenavir";"Small molecule";"0";"536.68";"10";"37";"4.23";"116.05";"5";"4";"1";"8";"N";"0.25";"13.23";"4.44";"4.04";"4.04";"4";"MOL";"0";"40";"7";"6";"2";"536.2787";"NEUTRAL";"C33H36N4O3";"Nc1cccc(CN2C(=O)N(Cc3cccc(N)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1";"KYRSNWPSSXSNEP-ZRTHHSRSSA-N"
"CHEMBL1163";"ATAZANAVIR";"ATAZANAVIR|Atazanavir|BMS-232632|CGP-73547|REYATAZ";"Small molecule";"4";"704.87";"44";"794";"4.21";"171.22";"9";"5";"1";"14";"N";"0.15";"11.92";"4.42";"4.54";"4.54";"3";"MOL";"0";"51";"13";"5";"2";"704.3897";"NEUTRAL";"C38H52N6O7";"COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C";"AXRYRYVKAWYZBR-GASGPIRDSA-N"
"CHEMBL115";"INDINAVIR";"CRIXIVAN|Crixivan|INDINAVIR|INDINAVIR ANHYDROUS|INDINAVIR MONOHYDRATE|INDINAVIR SYSTEM SUITABILITY|Indinavir|L-735524|MK-639";"Small molecule";"4";"613.80";"159";"1331";"2.87";"118.03";"7";"4";"1";"11";"N";"0.26";"13.01";"6.76";"2.81";"2.72";"3";"MOL";"0";"45";"9";"4";"1";"613.3628";"NEUTRAL";"C36H47N5O4";"CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O";"CBVCZFGXHXORBI-PXQQMZJSSA-N"
"CHEMBL1205";"NELFINAVIR MESYLATE";"AG-1343|AG1343|NELFINAVIR MESILATE|NELFINAVIR MESYLATE|NELFINAVIR METHANESULFONATE|NELFINAVIRI MESILAS|Viracept";"Small molecule";"4";"663.90";"49";"188";"4.75";"101.90";"6";"4";"1";"9";"N";"0.33";"9.32";"8.18";"4.72";"4.09";"2";"MOL";"0";"40";"7";"4";"1";"567.3131";"NEUTRAL";"C33H49N3O7S2";"CS(=O)(=O)O.Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C";"NQHXCOAXSHGTIA-SKXNDZRYSA-N"
"CHEMBL3707372";"VOXILAPREVIR";"GS-9857|VOXILAPREVIR";"Small molecule";"4";"861.02";"";"";"5.35";"195.22";"11";"3";"3";"8";"N";"0.31";"3.75";"None";"5.77";"4.83";"2";"MOL";"0";"60";"15";"3";"3";"860.3954";"ACID";"C42H58F2N6O9S";"CC[C@H]1[C@@H](C(=O)N[C@]2(C(=O)NS(=O)(=O)C3(C)CC3)C[C@H]2C(C)C)N2C[C@@H]1Oc1nc3cc(OC)ccc3nc1C(F)(F)CCCC[C@@H]1C[C@H]1OC(=O)N[C@@H](C(C)(C)C)C2=O";"MKDALIOACIEUJM-XCFCBFDASA-N"
"CHEMBL3039499";"DELDEPREVIR SODIUM";"ACH-0142684.Na|ACH-2684.Na|DELDEPREVIR SODIUM|NECEPREVIR SODIUM";"Small molecule";"0";"933.09";"";"";"6.41";"177.20";"11";"2";"3";"10";"N";"0.22";"3.77";"1.59";"5.34";"4.40";"3";"MOL";"0";"63";"14";"2";"3";"910.3569";"ACID";"C45H55F2N6NaO8S2";"COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)[N-]S(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCC[C@H](CC(=O)N5CCCC(F)(F)C5)C(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1C.[Na+]";"KLBYIWFUEHNOSA-ACPQSSBHSA-M"
"CHEMBL3039533";"GRAZOPREVIR";"GRAZOPREVIR";"Small molecule";"3";"784.93";"";"";"3.30";"195.22";"11";"3";"2";"7";"N";"0.35";"3.77";"1.79";"3.35";"2.50";"2";"MOL";"0";"54";"15";"3";"2";"766.3360";"ACID";"C38H52N6O10S";"C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]1C[C@H]1CCCCCc1nc3ccc(OC)cc3nc1O2)C(=O)NS(=O)(=O)C1CC1.O";"RXSARIJMSJWJLZ-CIAYNJNFSA-N"
"CHEMBL2106751";"FOSAMPRENAVIR SODIUM";"FOSAMPRENAVIR SODIUM|GW 433908A|GW-433908A";"Small molecule";"0";"629.58";"";"";"2.52";"177.72";"8";"4";"1";"13";"N";"0.20";"1.22";"2.45";"1.92";"-1.20";"2";"MOL";"0";"39";"12";"5";"2";"585.1910";"ACID";"C25H34N3Na2O9PS";"CC(C)CN(C[C@@H](OP(=O)([O-])[O-])[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1.[Na+].[Na+]";"FZMGUXZZROZJIT-KMIZVRHLSA-L"
"CHEMBL222559";"TIPRANAVIR";"Aptivus|TIPRANAVIR|Tipranavir|U-140690";"Small molecule";"4";"602.68";"30";"210";"7.33";"105.59";"6";"2";"2";"11";"N";"0.22";"4.43";"None";"7.14";"3.45";"3";"MOL";"0";"42";"7";"2";"2";"602.2062";"ACID";"C31H33F3N2O5S";"CCC[C@@]1(CCc2ccccc2)CC(O)=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1";"SUJUHGSWHZTSEU-FYBSXPHGSA-N"
"CHEMBL3544915";"FALDAPREVIR SODIUM";"BI 201335 NA|BI-201335 NA|BI-201335-NA|BI-201335NA|FALDAPREVIR SODIUM|FALDAPREVIR, SODIUM SALT";"Small molecule";"0";"891.82";"";"";"6.30";"198.38";"11";"4";"3";"13";"N";"0.14";"3.38";"1.11";"6.51";"2.99";"3";"MOL";"0";"57";"15";"4";"3";"868.2465";"ACID";"C40H48BrN6NaO9S";"C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(=O)C(C)C)n3)nc3c(Br)c(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)[O-].[Na+]";"JYIOGGWFNHGWMN-CWNXUBRBSA-M"
